,idx,class,conversation,Augmentation
267,986,갈취 대화,"오 야 일로와봐.
왜요.?
왜요는 새끼야 돈 좀 있게 생겼다?
저 진짜 돈 없어요.
그래? 뒤져서 나오면 넌 나한테 뒤진다.
왜 그러세요 안돼요.
이새끼 돈 개많네. 야 신발도 벗어.
제발 하지마세요.
어라 죽고싶지 니가? 놔라
이러지마세요.","야, 이리 와.
왜요?
왜, 돈이 좀 있을 것 같은데?
저는 정말 돈이 없어요.
그래? 찾아서 나오면 넌 나한테 져.
어쩌다가 이렇게 됐어요. 안 돼요.
얘 돈이 많네. 야, 신발도 벗어.
제발 하지 마세요.
어, 죽고 싶은 거야? 놔라
하지 마세요."
268,987,갈취 대화,"너는 앞으로 매일 내 책상 위에 스타벅스 샌드위치 올려 놓도록 해.
응? 알겠어.
너 목소리가 왜 그래? 하기 싫어?
아 아니야 알겠어
그래 앞으로 대답할 때는 큰 소리로 말하도록 해
알겠어. 샌드위치 아무거나 올려놓으면 돼?
응응 목마르니까 가끔 마실 것도 꼭 올려놔
아 알겠어. 근데 매일은 조금 부담될 수 있을 것 같은데.
내가 알 바야? 아니면 너 학교 생활 어려워질 거니까 두고봐
아 알겠어.","당신은 앞으로 매일 내 책상 위에 스타벅스 샌드위치를 놓도록 해.
응? 알았어.
너 목소리 왜 그래? 하기 싫어?
아냐아냐, 알았어
맞아 앞으로 대답할 때는 큰 소리로 말하도록 하고
알겠어 샌드위치는 아무거나 올려놓으면 돼?
응응 목마르니까 가끔 음료수도 꼭 챙겨
아, 알았어. 그래도 매일은 조금 부담스러울 수도 있는데.
내가 알 바인가? 그렇지 않으면, 당신 학교생활이 힘들어지니까 기억해 둬
아, 알았어."
269,988,갈취 대화,"나 핸드폰비가 밀려서 내줬으면 좋겠어 
내가 왜 ? 
너는 얼마전에 적금 탔으니까 
그건 건드리면 안되는 적금이야 
당장 내일 끊겨 내줘 
내가 왜 그래야 하는지 모르겠어 
있는 사람이 내주는거지 
그래도 왜 내가 내줘야 하지 
당장 끊기니까 
이번이 마지막이야","나, 휴대폰비가 밀렸으니까 내줬으면 좋겠어
내가 왜?
당신은 저번에 적금했으니까
그것은 건드려서는 안 될 적금이야
지금 당장 내일 끊어 다오
제가 왜 그래야 되는지 모르겠어
어떤 사람이 내주는 거야
그래도 왜 내가 내야 돼
금방 끊기니까
이게 마지막이야"
270,994,갈취 대화,"어이 거기 학생 잠깐 일로 와봐.
왜요?
돈 있니?
없어요 저 거지에요.
뒤져서 나오면 십원에 한대다. 여기 이 만원은 뭐냐?
이번주 차비에요. 제발 그건 가져가지 마세요.
나도 차비가 없어서 말이야. 그냥 다시 부모님한테 달라그래.
저희 집 진짜 가난해요. 돈 없다구요.
나도 돈이 없어 미안.
제발 돌려주세요","야, 거기 학생 좀 이리 와.
왜요?
돈 있어?
없습니다. 제 거예요.
뒤지고 나오면 10원으로 한 대다. 여기 이 만원은 뭐지?
이번 주 교통비입니다. 제발 그건 가져가지 마세요.
나도 차비가 없으니까. 다시 한번 부모님한테 달라고 해.
우리 집은 정말 가난해요. 돈이 없거든요.
나도 돈이 없어서 미안해.
제발 돌려주세요"
271,1004,갈취 대화,"거기 회색 교복 치마 입은 애기야 이리 와 바
저요?
응 너 말고 누가 또 있어
왜 부르셨나요
언니가 빵 좀 사려는데 돈이 없네 만 원만 줄래?
제가 현금이 없어서요
너 내가 누군지 몰라? 얼른 줘
진짜 카드만 있어요.
저기 보이지? 얼른 뽑아 와 기다릴게 빨리 와라
네.","회색 교복치마 입은 아기 이리와
저요?
응, 당신 말고 누군가 있어
왜 부르셨어요
언니가 빵 사려고 하는데 돈이 없네. 1만원만 줄래?
저는 현금을 가지고 있지 않습니다
너 내가 누군지 모르니? 빨리 줘
진짜 카드만 있습니다.
저기 보이지? 빨리 골라와. 기다릴게. 빨리 와
네。"
272,1005,갈취 대화,"야 찐따 담배 사왔어?
아니. 용돈이 부족해서 미안
이게 미쳤나 요즘 너 덜 맞았지?
아니야 진짜 진짜 미안 다음주에 꼭 살게
그래 됐고 일단 오늘 가진 돈좀 다 내놔 그럼
용돈 부족해서 돈이 지금 없는데.
어디 한번 우리가 직접 뒤져 볼까?
정말이야 믿어줘 제발
가방부터 턴다 당장 내놔!
흑흑 정말 미안","야, 찐따 담배 사왔어?
아니, 용돈이 부족해서 미안해
미쳤나 요새. 너 아직 안맞지?
아니, 정말 미안해. 다음주에 꼭 살께
좋아, 일단 오늘은 가진 돈을 다 내놔
용돈 부족으로 돈이 지금 없는데.
한번 우리가 직접 찾아볼까?
정말이야. 믿어줘 제발
가방 먼저 돌리고 바로 내놔!
정말 미안해"
273,1020,갈취 대화,"돈좀있냐
있긴있는데
있는거 다 내놓자
그럼차비만 좀
차비는 걸어가라
넘 멀어요
다른사람한테 빌려라
에?
쳐맞고 갈래?
아니오 여기 있어요","돈 좀 있나
있기는 있는데
있는 것을 다 내자
그러면 차비만 좀
차비는 걸어라
너무 멀어요
다른 사람에게 빌려라
엥?
맞고 갈래?
아니요, 여기 있습니다"
274,1022,갈취 대화,"어이 너 거기서
누구세요??
지금 얼마있냐??
왜그러세요
어이 지금 그냥 가면 안되지
그러면 어떻게 하시려구요??
있는돈 다 꺼내놓지않으면 저세상 갈수도 있어
왜그러세요
빨리 내놔
안돼는데 윽.??","이봐 당신 거기서
누구세요??
지금 얼마 가지고 있어??
어쩌다가 이렇게 됐어요.
야, 지금 이대로 가면 안 되잖아
그럼 어떻게 할 생각인가요??
돈을 다 내지 않으면 저승으로 갈지도 모른다
어쩌다가 이렇게 됐어요.
빨리 내게
안 되는데 윽."
275,1023,갈취 대화,"너 지갑 이쁘다?
 아 고마워. 엄마가 사주셨어.
 근데 주인이랑 너무 안어울리는데 이거 그냥 내가 가져간다?
 아.안돼 돌려줘
 뭘 돌려줘야. 너 따위한테 이런게 어울릴거라고 생각하니? 내가 대신 써주는거야 고맙게생각해
 아 정말 안돼.
 응 안되는건 니 얼굴이고. 무튼 잘쓸게?
 돌려주면 안될까? 제발 부탁이야
 야. 내가 만만하냐? 어딜 잡고 난리야 뒤질래?
 아.
 그지같은게. 꺼져","너 지갑 예뻐?
아, 고마워. 엄마가 사줬어.
그런데 남편이랑 잘 안 어울리는데 이건 내가 가져갈게?
아, 안 돼. 돌려줘
뭘 돌려주면. 너 따위한테 이런 게 어울린다고 생각해? 내가 대신 써주는거 고마워~
아, 진짜 안 돼.
응, 안 되는 건 네 얼굴이고. 어쨌든 잘 사용해?
돌려주지 않을래? 제발, 제발
야, 내가 만만해? 어디 잡고 난리야? 찾아?
아.
김 씨 같은 게 사라지고"
276,1025,갈취 대화,"야 너네둘 일로와봐
왜 그러시는데요?
가지고있는 돈 얼마있냐?
하나도없어요.
뒤져서 10원이라도 나오면 맞을줄알아
사실 돈 있어요 근데 이거 학원비란 말이에요
좋은 말 할때 가지고와라 맞기전에
정말 안돼요 살려주세요
안되겠다 너오늘좀 맞자
드.드릴게요 .","야, 너희 둘이 이리 와 봐
무슨 일이세요?
가지고 있는 돈은 얼마나 있어?
하나도 없어요.
찾아서 10원이라도 나온다면 맞을거야
실은 돈이 있습니다 근데 이건 학원비랍니다
좋은 말 할 때 가져오라고 하기 전에
정말 안 돼요 살려주세요
안 되겠다, 너 오늘 좀 맞자
d.드리겠습니다."
277,1031,갈취 대화,"300만원만 빌려줘.
또? 저번에도 빌렸짆아.
그건 그거고. 빨리 빌려줘
저번꺼 부터 갚고 얘기해줘.
뭐? 니 사진들이랑 정보 다 유출 당하고 싶어?
그거랑 돈이랑 무슨 상관인데.
그니까 좋은 말로 할 때 빌려줘. 갚을게
이제는 협박 까지 하네. 알았어
계좌번호 부를테니까 받아 적어
알았어. 언제까지 주면 돼?
내일까지 부탁해","300만원만 빌려줘.
또? 저번에도 빌렸잖아.
그건 그렇고. 빨리 빌려 주게
지난번 것부터 돌려주고 얘기해줘.
뭐야? 너의 사진과 정보 전부 유출되고 싶어?
그거랑 돈이 무슨 상관이야.
그러니까 좋은 말 할 때 빌려줘. 돌려줄게
이제는 협박까지 하네. 알겠다
계좌번호를 부르니까 받아적어
알겠어 언제까지 주면 돼?
내일까지 부탁해"
278,1038,갈취 대화,"있는돈 다내놔
없어
말로할때 어서
없다니깐
나오면죽는다
맞겨놨냐
죽고싶어?
죽여
딱대
미안","가진 돈을 다 내 놓고
없어요
말로 할 때니까
없다니까
나가면 죽는다
알아맞혀 두었느냐
죽고싶어?
죽여줘
막대 모양의 막대
미안."
279,1040,갈취 대화,"민수야 나 빵 좀 사먹게 5만원만 줘라
미안해 내가 오늘은 돈이 없어
잔말 말고 5만원 구해와
그렇게 큰 돈을 내가 어디서 구해.?
지금 반항하는거야?
정말 돈이 없어서 그래
부모님 한테 거짓말이라도 쳐서 구해와
어떻게든 구해볼게.
그래 그렇게 말을 잘들으니까 얼마나좋아?
응.","민수야, 빵 사 먹을 수 있게 5만원만 줘
미안해. 오늘은 돈이 없어
잔말 말고 5만원을 구해 오너라
그런 큰 돈을 내가 어디서 구해?
지금 반항하는 거야?
정말로 돈이 없기 때문이야
부모에게 거짓말이라도 해서 구해 오너라
어떻게든 찾아볼게.
그래, 그런 식으로 말을 잘 들으면 얼마나 기뻐?
그래。"
280,1042,갈취 대화,"엄마 나 이번에 500만 보내줘.
 아니 보낸지 얼마나 됐다고 또 보내??
 급하게 쓸데가 있어서 그래.
 저번에 300 가져간지 얼마 안됐잖아.
 지금 급하다고!!!
 얘가 미쳤나.
 돈 안주면 나 그냥 죽어버릴거야.
 또 무슨 사고 친거야??
 다른 얘기는 됐고 돈 줄거야 말거야? 자식이 진짜 죽어도 되겠어.?
 알았어. 잠깐만 기다려봐.","엄마, 나 이번에 500만 보내줘.
아니 보낸지 얼마나 됐어? 다시 보내는거야??
급하게 쓸모가 있어서 그래.
저번에 300가져간지 얼마 안됐잖아.
지금 서두르고 있는 거야!!!
얘 미쳤나 봐.
돈을 주지 않으면 나는 죽고 말 거야.
또 무슨 사고라도 있었어??
다른 얘기는 괜찮으니까 돈을 주는 거야? 안 줘? 아이가 정말 죽어도 되는 거야?
알겠어 조금만 기다려."
281,1051,갈취 대화,"친구야
네?저요?
어 너 친구야
네.
돈 있어?
아뇨 없어요
진짜 없어?
네.
뒤져서 나오면?
진짜 없어요.
뒤졌더니 있잖아 혼나볼까?","친구여
어? 저요?
당신 친구여
네。
돈 있어?
아니요, 없어요.
진짜 없어?
네。
찾아서 나오지 그래?
정말 없어요.
찾으면 저기 혼나볼까?"
282,1052,갈취 대화,"야 너네 길동중학교지?
네? 네.
나 거기 나왔는데 니네 수근이알지?
아 네 그 형 알아요
걔가 내 친한 후배거든
아 네
형이 지금 노래방을 가려는데 돈이 없네? 니네 얼마씩들 있냐?
아 저희 돈 없는데
없는데는 반말이고 만약에 돈 있으면 수근이한테 말한다 니네?
아 죄송해요 . 드 드릴게요 여기","야, 너희 길동중학교 맞지?
네? 네.
나 거기 나왔는데 너희 수근 알지?
아, 네. 그 사람 알아요
걔가 내 친한 후배니까
아, 예.
형이 지금 노래방 가려고 했는데 돈이 없네? 너네 얼마씩 들어있는 거야?
아, 우리는 돈이 없는데
없는 곳은 반말로, 만약 돈이 있으면 수근이에게 말을 하다니?
아, 죄송합니다. 드립니다"
283,1058,갈취 대화,"야 이자식 명품입었네? 벗어봐. 나도 사려고하던건데 입어만보자
네.? 저 이거 벗으면 맨몸이에요
내꺼 입어봐 자식아. 너랑 나랑 바꿔입는게 더 잘 어울리네 고맙다 임마
왜 그러세요. 돌려주세요. 선물받은 겁니다.
선물이고 나발이고. 니네 가족들도 좋은거 많이 입고 들고댕기더라?
니네 동생이 집에들어가는 시간이 매번 8시 쯤이더라? 구경가도되냐?
동생 건드리지마십쇼.
누가 건드린다그래? 친해지고 싶은거지. 나도 좋은 옷입고 좋은 거 들고 다니는 애들이랑 친해져보자.
이옷 가지시고 그만해주세요.
누굴 거지로봐? 얘봐라. 누굴 거지로 보네. 죽고싶냐?
그런 거 아닙니다. 제발 부탁드립니다.","야, 얘 브랜드 옷 입었네? 벗어봐. 나도 사려고 했는데 입어봐야겠다
네? 이거 벗으면 발가벗었어요
내 거 입어봐, 아가야. 너랑 내가 옷 갈아입는게 더 잘어울린다. 고마워요.
어쩌다가 이렇게 됐어요. 돌려주세요. 선물로 받은 것입니다.
선물이든 뭐든. 너희 가족들도 좋은 거 많이 입고 들고 던지는 거지?
네 동생이 집에 가는 시간이 매번 8시쯤이지? 보러 가도 돼?
동생을 만지지 마세요.
누가 만질 것 같아? 친하게 지내고 싶어. 나도 옷 잘 입고, 옷 잘 챙겨 다니는 애들이랑 친해져야겠다.
이 옷을 가지고 그만두세요.
누구꺼 같아? 봐봐, 누구 거라고 생각하는 거야. 죽을래?
그렇지 않습니다. 제발 부탁드립니다."
284,1071,갈취 대화,"야 수민아 돈 좀 빌려줘
혹시 어제 돈 빌려 간 거는 언제 줄꺼야?
알 필요 없고 오늘꺼랑 같이 줄게
아 근데 내가 돈이 진짜 없어서
아니 친구한테 돈도 못빌려줘?
미안해
지금 안빌려주면 너 후회할 줄 알아라
 얼마 빌려줘야해?
5만원
여기 꼭 갚아줘","야, 수민아. 돈 좀 빌려줘
혹시 어제 돈 빌린건 언제 줄거야?
알 필요 없어. 오늘꺼랑 같이 줄게
아! 근데 내가 돈이 정말 없어서
아니, 친구한테 돈도 못 빌려줘?
미안해.
지금 빌려주지 않으면 당신 후회할 줄 알아라
얼마나 빌려주면 돼?
오만원
여기 꼭 돌려줘"
285,1075,갈취 대화,"카드 연체있으시죠? 추심나왔습니다
카드연체라니요 전 카드를 쓴적이없는데요
당신 아드님이 당신이름으로 카드를발급받아서 카드론을 받으셨네요 연체 대금 당장 안갚으시면 신용불량자 되시거든요?
우리아들이요? 그럴리가 절대없어요
여기 카드내역 보이시죠? 보세요 아주머니 주민번호로 발급받아서 쓴내역을
우리 착한 아들이 그럴리가 없는데.
신용불량자 될거예요 말거예요 문자로 보낸 장소로 당장 2천만원 가져오셔야해요
신용불량자라니.!! 알겠습니다 당장 갈게요 잠시만요
저희가 시간이 없어서요 
좀만 기다려주세요",
286,1082,갈취 대화,"다들 엎드려 살고싶으면 
살.살려주세요.
내가 왜 이짓을 하는지 알겠지 빨리 현금 뽑아서 다 이 봉투에 담아
네 네 알겠습니다. 살려만 주세요
시끄럽고 뜸들이지마 빨리 해
네 여기 있습니다.
이게 다야? 난 다 알고 있어. 얕팍한 수법으로 빼돌릴 생각마.","다 엎드리고 싶으면
c.도와주세요.
내가 왜 이러는지 알지? 빨리 현금을 내고 다 이 봉투에 넣어서
예 알겠습니다。 도와주세요
시끄러워서 쉬쉬하지 마. 빨리 해라
네, 여기 있습니다.
이게 다야? 나는 다 알고 있어. 얄팍한 방법으로 빼낼 생각은 없다."
287,1087,갈취 대화,"안녕? 내가 친구와 대화해봤는데 너 과거 아주 대박이더라 
너 도대체 무슨 소리를 하는 거야?
아주 학교에서 알아주는 대빵이었다면서 니 남친도 그걸 알면 어떻게 할까?
증거 있어? 증거 있냐고?
음. 그럼 내가 증거도 없이 여길 올 것이라고 생각했어? 사진이 빼박 있는데?
너 도대체 나한테 왜 이러는 거야?
너 같은 것한테는 그 남자는 너무 과분하지 
원하는 게 뭔데? 뭐냐고!!!
매달 100만원 씩 내놓던가? 싫으면 다 공개하지 뭐 
. 최대한 마련해 볼게.","안녕하세요 제가 친구랑 얘기해봤는데 너 과거는 정말 대단했어
너 도대체 무슨 말을 하는 거야?
학교에서 잘 알아주는 빵 터졌대. 네 남자친구도 그걸 알면 어떡하지?
증거 있어? 증거가 있냐고?
음, 그럼 내가 증거도 없이 여기 올 줄 알았어? 사진이 꽉 차 있는데?
너 도대체 나한테 왜 이러는 거야?
당신 따위에게는 그 남자는 아까워요
갖고 싶은 게 뭐야? 뭐라고!!!
매달 100만원씩 내던가? 싫으면 다 공개해
. 최대한 준비해볼게."
288,1096,갈취 대화,"야 오랜만이야?
누구세요? 
몰라? 나 고교때 같은반이었잖아?
아. 그랬지! 미안. 내가 지금 바빠서. 
그냥 가면 안되지? 오랜만에 만났는데 돈 좀 빌려줘.
뭐라고? 옛날에도 뺏어 가더니 왜 나한테 그러는거야? 나 돈없어.
그때는 고분고분 하더니 맞고 줄래. 그냥 줄래? 직장이 어디야? 내가 찾아갈테니 5백만원만 준비해.
싫어. 내가 왜 줘야해. 돈 없어. 제발 이제 그만해줘
안되겠네. 옛날처럼 맞아봐. 있네 카드. 비밀번호 말해
이번만이야. 제발 다시는 때리지마. 제발","야, 오랜만이다?
누구세요?
몰라? 나 고등학교 때 같은 반이었지?
아 맞다! 미안 내가 지금 바빠서.
그냥 가면 안 되지? 오랜만에 만났는데 돈 좀 빌려줘.
뭐라고? 옛날에도 뺏어갔는데 왜 나한테 그러는거야? 나 돈 없어.
그때는 솔직했는데 맞아줘. 그냥 줄래? 직장은 어디야? 내가 찾아갈테니 5백만원만 준비해.
싫어, 왜 내가 줘야 돼? 돈이 없어. 제발 이제 그만해 줘
안 되겠다, 옛날처럼 맞아봐. 있네, 카드. 비밀번호를 말하고
이번만이야. 제발 다시는 때리지 마. 부탁이니까"
289,1102,갈취 대화,"얼마 있냐?
 예? 지금요?
 만원만 빌려줘봐
 과장님 돈 없으세요?
 지금 지갑 안 갖고 왔어. 담에 돈 줄게
 이건 누가 계산해요?
 일단 너가 계산하고 나중에 회식비로 따로 청구해
저도 돈 없어요 과장님.
 인턴 일 계속하고 싶으면 잘 생각해. 다 너 생각해서 하는 말이야
 예 알겠습니다.??",
290,1104,갈취 대화,"나 어제 너가 학원에서 선생님 지갑에서 돈 훔치는 거 봤어.
어.? 아. 
처음에는 그냥 친구니까 넘어가려고 했는데 내 입이 조금 근질근질하네.
어떡하라구.
우리 단톡방에 니가 도둑질 했다고 뿌려볼까? 너무 재미있을 것 같은데 어떻게 생각해?
부탁이야 한 번만 눈 감아줘
그래. 내 입 막으려면 돈 가져와. 100만원.
내가 백만원이 어디있어. 
가져와. 니네 집 잘 살잖아. 내가 가서 좀 털어봐?
아니야. 알았어. 얼른 구해볼게.
소문 쫙나서 학교 학원 얼굴 못 들고 다니게 하는 수가 있어. 눈치있게 돈 빨리 가져와서 내 입을 막는 게 좋을거야.","나 어제 네가 학원에서 선생님 지갑에서 돈을 훔치는 걸 봤어.
어? 어.
처음에는 그냥 친구라서 넘어가려고 했는데 내 입이 좀 근질근질하네.
어떻게 해야 돼.
우리 단톡방에 네가 도둑질했다고 뿌려볼까? 너무 재밌을 것 같은데 어떻게 생각해?
제발 한 번만 눈을 감고
맞아 내 입을 막으려면 돈을 가져와. 100만원. 02-580-5234.
내가 백만원이 어디 있어.
갖고 와. 너희 집은 부유하잖아. 내가 가서 좀 털어봐?
아니야, 알았어. 빨리 찾아볼게.
구설수에 올라 학원의 얼굴을 들지 못하게 하기도 한다. 눈치를 보고 돈을 빨리 가져와서 내 입을 막는 게 좋겠어."
291,1105,갈취 대화,"야. 화장실에서 빨리나와. 나 급해.
왜에? 난 아주 평온하게 볼일중인데?
야. 빨리 안나오면 죽여버린다. 내장이 베베꼬이는 느낌이란말야. 야!!
어 그럼 그때 내가 갖고싶었던 샤프 나줘
뭐? 그걸 왜 줘야하는데!
싫으면 거기 계속 있던가
쾅쾅쾅!! 줄께줄께 빨리나와!! 안나오면 진짜 문 부숴버린다!!! 
철컥. 들어가봐
후.",
292,1106,갈취 대화,"길동아 나 이것 좀 빌려주라.
어? 이거 내가 아끼는거라 안 돼.
야 누가 뭐 달라했냐 빌려만 달라고.
아니 그게. 너 전에도 빌려간 거 다 안 돌려줬잖아.
와 얘 봐라. 얘가 사람을 깡패 취급하네 
어? 아니 그게.
길동아 우리 친구잖아 
그래도 이건 진짜 안 돼.
그냥 주면 될 것을 시끄럽게 굴고 있어. 너 감당할 수 있겠어?
미안. 알겠어.줄게.","길동아, 이것 좀 빌려줘.
어? 이거 내가 아끼는 거라 안 돼.
야, 누가 뭘 달라고 했어, 빌려달래.
아니, 그게. 너 전에도 빌린 거 다 안 갚아줬잖아.
와, 얘. 이 아이가 사람을 깡패 취급하네
어? 아니, 그게.
길동아, 우리 친구잖아
그런데 이거는 진짜 안 돼.
그냥 주면 되는 걸 귀찮게 하고 있어. 너 견딜 수 있어?
미안해 알았어. 줄게."
293,1114,갈취 대화,"100만 원만 내시죠.
 내가 왜 100만 원을 내야돼?
 아 그럼 공짜로 가겠단 말이야?
 공짜는 왜 공짜야. 나도 할만큼했다고.
 하 이 사람이 무서운 게 없군.
 잘못한 게 없는데 뭐가 무서워.
 하 아직 매운 맛을 못 봤군. 좋음 말로 할 때 100만 원 만 내.
 100만원은 커녕 10만 원도 없어.
 좋아 그럼 차키라도 넘기지.
 운전으로 먹고 사는데 차를 넘기면 난 굶어주으란 말이야?.
 그건 내가 알바 아니고 현금없으면 차라도 넘겨.",
294,1117,갈취 대화,"야 나 니 성형수술 하기 전 사진 가지고 있다 
야 나도 보여줘 봐 뭐야! 완전 괴물이 따로 없네 얘 남자친구가 보면 바로 손절인데 
지워줘 내 허락도 없이 사진 찍고 그걸 왜 지금까지 남겨 둔건데
그거야 이럴 때 써먹으려고 그랬지 왜 지워줘야 하는데 딱 남자친구 주면 재밌겠구만
지금 그냥 보내 반응 궁금하다 다른 사람이라고 생각하는 거 아니야?
제발 그냥 다 미안해 내가 원하는 거 다 들어줄게
그래 이렇게 나와야지 야 우리 300만원만 빌려줘
300은 너무 당황스러운데. 갑자기 그렇게 큰 돈이 어디서 나.
그럼 뭐 돈을 포기하시고 웃음을 선택하던가
아.아니야 300만원이면 지금 당장 삭제해 주는 거지? 꼭 삭제해줘","있잖아, 내가 성형수술하기 전의 사진을 가지고 있어
야, 나도 보여줘. 뭐야! 완전 괴물이네. 얘는 남자친구가 보면 바로 손절매인데
지워줘 내 허락도 없이 사진 찍고 그걸 왜 여태까지 남겨뒀어
그거는 이럴 때 쓰려고 했어. 왜 떨어트려야 되는데, 남자친구에게 주면 재미있을 것 같아
지금 그냥 보내서 반응이 궁금해. 다른 사람인 줄 아는 거 아니야?
제발 다 미안해. 내가 원하는 걸 다 들어줄게
맞아, 이렇게 나가야 돼. 우리 300만원만 빌려줘
300은 너무 당황스러운데. 갑자기 그렇게 큰 돈이 어디서 나와.
돈을 포기하고 웃음을 고를까
H.아니, 300만원이면 지금 바로 삭제해주는 거지? 꼭 삭제해줘"
295,1118,갈취 대화,"어이 너 입고 있는 코트 멋있다
저요?
그래. 너 말고 여기 또 누구 있나
코트 이거 아빠가 사 준거에요. 안 돼요
그러면 바지라도 벗어 주고 가던지
싫어요
그럼 딱 10대만 맞자. 그러면 가도 돼
신고할거에요
법보다 주먹이 가깝지
여기 좀 도와주세요!","이봐 당신 입고 있는 코트 멋있어
저요?
그래, 너 말고, 여기 누구 있을까
코트 이건 아버지가 사주신 거예요. 안돼요
그러면 바지라도 벗고 가
싫어요。
그럼 딱 10대만 때리자. 그럼 가도 돼
통보하겠습니다
법보다 주먹이 가깝지
여기 좀 도와주세요!"
296,1120,갈취 대화,"거기 그래 거기 방금 나랑 눈마주친 새끼
저 저 말입니까?
그래 너. 지갑 내놔봐.
지갑을 왜.?
내놓으라면 내놓을 것이지 말이 많아.
저. 여기.
야 하 생각보다 능력 좀 있다? 십만원만 빌려간다.
아 아니.
아유 고맙다 고마워 새끼야 새끼 십만원가지고 쪼잔하게. 담에 만나면 돌려줄게
네 꼭 돌려주십시오. 제 십만원.","저기, 맞다. 지금 나랑 눈 마주친 애
저, 저요?
그래, 오빠. 지갑을 꺼내.
지갑을 왜?
내놓으라고 하면 내겠지만 말이 많다.
저기, 여기.
이야, 생각보다 능력이 있네? 10만원만 빌리다.
아, 아니.
아, 고마워, 고마워, 아가야, 십만원 가지고 아담하게. 다음에 만나면 돌려줄게
네, 꼭 돌려주세요. 제 십만원."
297,1121,갈취 대화,"안녕 꼬마야 몇살이야
안녕하세요 6살이요
손에 든건뭐야?
돈이에요 엄마가 애호박 하나 사오래요
그래? 오늘 반찬만드실때 필요한가보네
그런가봐요.
근데 어쩌지 형이 아이스크림 사먹고 싶은데 돈이 없어
네??
애호박 사먹고도 돈이 남을거 같은데 형도 아이스크림 하나사주라
제가요??
응 착한 어린이는 불쌍한 사람도와줘야 한다고 배웠지? 얼른 사러가자
엄마가 돈 남겨오라했는데.
아가야 엄마말만 듣다가 형아한테 혼나기 전에 가자
네","안녕하세요 나이가 어떻게되니
안녕하세요. 6살입니다
손에 들고 있는 게 뭐야?
돈이에요. 엄마가 애호박 하나 사다달래요
그래? 오늘 반찬 할 때 필요한가 봐
그런 것 같네요.
그런데 어떻게 해. 형이 아이스크림을 사먹고 싶은데 돈이 없어
네??
애호박을 사먹어도 돈이 남을것 같으니 오빠도 아이스크림 하나 사줘
제가??
응, 착한 아이는 불쌍한 사람을 도와야 한다고 배웠지? 빨리 사러 가자
엄마가 돈을 남기고 오라고 했는데.
엄마 말만 듣고, 오빠한테 혼나기 전에 가자
네。"
298,1127,갈취 대화,"당신 지금 돈 얼마 있어?
 저 돈 없는데요.
 거짓말하지 마! 지금 빨리 지갑 열어봐.
 저 진짜 돈 없어요.
 나 지금 잃을 것 없어. 돈만 주면 나 갈테니까 얼른 있는 돈 다 줘봐.
 여기요. 봐요 아무것도 없잖아요.
 진짜 그렇네. 시계나 그런 금속품도 없어?
 시계는 이거인데. 동네 골동품 가게에서 산 건데 30000원이에요.
 그거라도 줘봐. 내가 팔아야지.
 네 알겠어요.","너는 지금 얼마나 돈을 가지고 있니?
저 돈 없는데요.
거짓말하지 마! 지금 당장 지갑을 열어봐.
저는 정말 돈이 없어요.
나 지금 잃을 게 없어. 돈만 주면 내가 갈 테니까 빨리 있는 돈을 다 줘.
여기요. 보세요. 아무것도 없잖아요.
진짜 그러네. 시계나 그런 금속품도 없어?
시계는 이거인데. 동네 골동품 가게에서 산 물건인데, 30000원입니다.
그래도 줘. 내가 팔아야지.
예 알겠습니다。"
299,1130,갈취 대화,"친구야 안녕
네.? 누구
내가 오늘 남자친구랑 22라 돈 좀
저 돈 없는데요
아니 뒤져서 나오면 어떻게 할래
저 정말 없어요
뒤져서 나오면 다 내꺼다
안돼요
뭐가 안돼!!! 내놔
안돼요 주세요","친구야 안녕
네? 누구
제가 오늘 남자친구랑 22라서 돈을 좀
나는 돈을 가지고 있지 않습니다
아니, 찾아서 나오면 어떡해
저는 정말 없습니다
모레 나오니 전부 내 것이다
안돼요
뭐가 안 돼!!! 내게
안 돼요. 주세요"
300,1133,갈취 대화,"돈 천만원 입금하세요.
제발 봐주십시요.
내일까지 보내세요. 안보내면 그 동영상 공개합니다.
잘못했습니다. 한번만 봐주세요.
돈 내일까지 입금하시면 됩니다.
지금 당장 돈이 없습니다.
아니면 당신 연락처 저장된 사람들한테 다 망신당하고 직장 가족 잃어보시든가.
제발 부탁드립니다. 일단 시간이라도 더주세요.
신고할 생각해도 소용없어. 당신 인생 끝나는거야.
정말 아닙니다 제발요.","돈 천만원 입금해주세요.
제발 보세요.
내일까지 보내주세요. 안 보내면 그 영상 공개할게요.
잘못했습니다. 한번만 봐주세요.
돈은 내일까지 입금하시면 됩니다.
지금 당장 돈이 없어요.
아니면 당신의 연락처가 저장된 사람들에게 창피를 당해서 직장의 가족을 잃는다든가.
제발 부탁드립니다. 일단 시간이라도 더 주세요.
신고할 생각을 해도 소용없어. 당신의 인생은 끝이야.
진짜 아니에요 부탁드려요."
